epoch,NRMSE,loss,lr,val_NRMSE,val_loss
0,0.609548032283783,0.8688790798187256,0.05,0.5138614773750305,0.25286993384361267
1,0.8675015568733215,0.019894752651453018,0.05,0.9202988743782043,0.008079621940851212
2,0.8830305933952332,0.014749090187251568,0.05,0.8639532327651978,0.025031445547938347
3,0.928202748298645,0.005357623100280762,0.05,0.897166907787323,0.013709049671888351
4,0.9382360577583313,0.003993016667664051,0.05,0.8906664848327637,0.015585774555802345
5,0.943937361240387,0.0032907561399042606,0.05,0.8944246172904968,0.014020293951034546
6,0.9458686113357544,0.0030645946972072124,0.05,0.8943895101547241,0.015840716660022736
7,0.9441888332366943,0.0032709832303225994,0.01,0.890694797039032,0.01740260049700737
8,0.9460781812667847,0.0030151160899549723,0.01,0.9157268404960632,0.010566525161266327
9,0.9459130167961121,0.003020314499735832,0.01,0.9208949208259583,0.009220466949045658
10,0.9483702778816223,0.0027995507698506117,0.01,0.9214922189712524,0.009266703389585018
11,0.9459491968154907,0.003040177747607231,0.01,0.9134049415588379,0.011161966249346733
0,0.659553050994873,1.1808933019638062,0.05,0.9205566644668579,0.0070562176406383514
1,0.9017203450202942,0.009951489046216011,0.05,0.914203941822052,0.007942537777125835
2,0.912747859954834,0.00795811414718628,0.05,0.9570385813713074,0.0023866137489676476
3,0.9192276000976562,0.00676033366471529,0.05,0.9557639956474304,0.002433420391753316
4,0.9303589463233948,0.0050696418620646,0.05,0.8954946398735046,0.011767840944230556
5,0.9350852966308594,0.004462903831154108,0.05,0.9634333848953247,0.0019098388729617
6,0.9453992247581482,0.0031618925277143717,0.05,0.9534955024719238,0.0025149499997496605
7,0.9458367824554443,0.003121640533208847,0.05,0.9475654363632202,0.003321666968986392
8,0.9484305381774902,0.0028021526522934437,0.05,0.9647218585014343,0.0015469291247427464
9,0.9475182294845581,0.0029021394439041615,0.05,0.9602405428886414,0.0018527484498918056
10,0.9510707259178162,0.002543741837143898,0.05,0.94941246509552,0.0030149011872708797
11,0.9518423080444336,0.0024325198028236628,0.05,0.9638081789016724,0.0015579394530504942
12,0.9532241821289062,0.0022740131244063377,0.05,0.955882728099823,0.002199048874899745
13,0.945791482925415,0.003170609939843416,0.05,0.9662374258041382,0.0015701433876529336
14,0.9568263292312622,0.0019703584257513285,0.01,0.9672762155532837,0.0013346391497179866
15,0.9590861797332764,0.0017379815690219402,0.01,0.9701782464981079,0.0011667606886476278
16,0.958459734916687,0.001780573627911508,0.01,0.9539912939071655,0.002343657659366727
17,0.9578827023506165,0.0018522032769396901,0.01,0.9699724316596985,0.001201011473312974
18,0.9586970806121826,0.00178613665048033,0.01,0.9682391285896301,0.001233570510521531
19,0.9558160305023193,0.0020620778668671846,0.01,0.957339882850647,0.0020192372612655163
20,0.9596862196922302,0.0017066642176359892,0.01,0.9713348150253296,0.0010697300313040614
21,0.9606589674949646,0.0016183842672035098,0.0019999999,0.9704699516296387,0.0011017785873264074
22,0.9587994813919067,0.0017922588158398867,0.0019999999,0.9697780609130859,0.0011340630007907748
23,0.9596350193023682,0.0017119406256824732,0.0019999999,0.9598751068115234,0.0018006531754508615
24,0.9594700932502747,0.0017179989954456687,0.0019999999,0.9713085889816284,0.0010620694374665618
25,0.9597117900848389,0.0016727945767343044,0.0019999999,0.9706779718399048,0.0010859828907996416
26,0.9589145183563232,0.0017697925213724375,0.0019999999,0.9666299819946289,0.0013105723774060607
27,0.9590175151824951,0.0017972964560613036,0.0019999999,0.9716285467147827,0.001054918160662055
28,0.9599028825759888,0.0017080230172723532,0.0019999999,0.9685510396957397,0.0011939674150198698
29,0.9577644467353821,0.0018771690083667636,0.0019999999,0.9691551327705383,0.001157990307547152
30,0.9603357315063477,0.0016127564013004303,0.00039999996,0.968847930431366,0.0011744804214686155
31,0.9597750306129456,0.0016749162459746003,0.00039999996,0.9679890871047974,0.0012235009344294667
32,0.9589297771453857,0.0017633249517530203,0.00039999996,0.9666696786880493,0.0013041720958426595
33,0.9599599242210388,0.0016773840179666877,0.00039999996,0.9672626256942749,0.0012675764737650752
34,0.9605542421340942,0.0016064272494986653,0.00039999996,0.9670137166976929,0.0012827618047595024
35,0.9591442346572876,0.0017392985755577683,7.999999e-05,0.968396008014679,0.0011999952839687467
36,0.9591513872146606,0.0017585954628884792,7.999999e-05,0.9679094552993774,0.0012284197146072984
37,0.9599765539169312,0.001669483259320259,7.999999e-05,0.9686066508293152,0.001187849324196577
