Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/06/2000,0,"26,8","27,4","26,7",76,81,73,"22,2","23,3","22,2","1003,3","1003,3","1002,5","0,7",28,"2,7",,0
01/06/2000,100,26,"26,8","25,9",79,81,75,22,"22,6","21,8",1004,"1004,1","1003,3","0,5",34,"2,4",,0
01/06/2000,200,"24,6","26,1","24,6",89,89,78,"22,7","22,8","21,7","1004,7","1004,7",1004,"0,2",51,"0,9",,0
01/06/2000,300,"24,7",25,"24,2",88,90,85,"22,5","22,8","22,1","1004,7","1004,8","1004,6","0,3",334,"2,1",,0
01/06/2000,400,"25,2","25,2","24,4",87,90,85,23,23,"22,5","1004,5","1004,8","1004,5","0,4",323,"1,8",,0
01/06/2000,500,"24,6","25,1","24,6",90,90,87,"22,9",23,"22,6",1004,"1004,5","1003,9","0,3",275,"1,5",,0
01/06/2000,600,"24,9","25,1","24,7",87,89,86,"22,6","22,9","22,6","1003,2",1004,"1003,2",1,294,"1,9",,0
01/06/2000,700,"24,8",25,"24,6",88,89,86,"22,7","22,8","22,4","1003,3","1003,3","1003,2","0,4",13,"1,8",,0
01/06/2000,800,"24,2","24,8","24,1",92,93,87,"22,7",23,"22,5","1003,1","1003,3","1003,1","0,1",300,"84,5",,0
01/06/2000,900,"23,6","24,1","23,5",94,95,92,"22,7","22,8","22,7","1003,6","1003,6","1003,1","0,1",298,"0,8",,0
01/06/2000,1000,"23,4","23,7","23,2",96,96,94,"22,6","22,8","22,5","1004,2","1004,2","1003,6",0,286,"1,1",,0
01/06/2000,1100,25,25,"23,4",92,96,90,"23,7","23,7","22,6","1005,2","1005,2","1004,2","0,4",146,"1,6",193,0
01/06/2000,1200,"26,2","26,5","25,2",90,91,81,"24,4","24,5","22,9","1006,1","1006,1","1005,2","0,5",155,"2,8",390,0
01/06/2000,1300,"27,6","27,6","26,2",80,90,80,"23,9","24,6","23,7","1006,6","1006,6","1006,1","0,6",176,"1,6",793,0
01/06/2000,1400,"29,6","29,8","27,6",75,83,72,"24,8","25,1","23,5","1006,5","1006,6","1006,4","2,1",117,"4,2",2335,0
01/06/2000,1500,"29,9",30,"28,7",74,80,72,"24,9","25,6","23,8","1005,8","1006,5","1005,8",2,141,4,2265,0
01/06/2000,1600,"30,5","30,5",29,70,80,70,"24,5","25,3",24,"1004,8","1005,8","1004,8",2,183,4,2905,0
01/06/2000,1700,"28,5","31,1","28,5",74,74,67,"23,5","25,3","22,8",1004,"1004,8","1003,9","1,1",187,"5,4",2198,0
