"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/12/2000";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2000";"1200";"28,9";"29,0";"27,7";"74,0";"80,0";"74,0";"23,8";"24,6";"23,4";"1005,6";"1005,6";"1004,8";"1,5";"109,0";"3,4";"1110,00";"0,0"
"01/12/2000";"1300";"29,9";"29,9";"29,2";"65,0";"73,0";"65,0";"22,6";"24,0";"22,6";"1005,8";"1005,8";"1005,8";"2,4";"105,0";"4,5";"1276,00";"0,0"
"01/12/2000";"1400";"30,6";"31,1";"30,0";"63,0";"67,0";"62,0";"22,9";"23,5";"22,4";"1005,4";"1005,8";"1005,4";"2,6";"104,0";"4,3";"2434,00";"0,0"
"01/12/2000";"1500";"31,6";"32,1";"30,7";"59,0";"64,0";"58,0";"22,7";"23,8";"22,3";"1005,0";"1005,4";"1005,0";"2,7";"99,0";"4,6";"3004,00";"0,0"
"01/12/2000";"1600";"32,7";"32,9";"31,6";"55,0";"60,0";"55,0";"22,3";"23,5";"22,1";"1004,3";"1005,0";"1004,3";"1,9";"93,0";"4,8";"3303,00";"0,0"
"01/12/2000";"1700";"33,0";"33,0";"32,2";"54,0";"59,0";"54,0";"22,5";"23,5";"22,1";"1003,3";"1004,3";"1003,3";"1,9";"89,0";"4,3";"2997,00";"0,0"
"01/12/2000";"1800";"32,2";"33,1";"32,2";"56,0";"59,0";"54,0";"22,4";"23,7";"22,1";"1002,1";"1003,2";"1002,1";"2,0";"95,0";"4,1";"2632,00";"0,0"
"01/12/2000";"1900";"33,2";"33,3";"32,2";"54,0";"60,0";"53,0";"22,7";"23,7";"22,4";"1000,7";"1002,1";"1000,7";"1,2";"131,0";"4,4";"1986,00";"0,0"
"01/12/2000";"2000";"32,3";"33,3";"32,3";"56,0";"58,0";"53,0";"22,4";"23,6";"22,1";"1000,4";"1000,7";"1000,3";"2,8";"110,0";"4,3";"1690,00";"0,0"
"01/12/2000";"2100";"28,9";"32,4";"26,8";"68,0";"80,0";"55,0";"22,3";"23,1";"21,0";"1000,2";"1000,9";"1000,2";"2,1";"70,0";"10,3";"797,00";"0,2"
