"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2003";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2003";"1300";"27,6";"27,7";"26,7";"84,0";"92,0";"83,0";"24,7";"25,5";"24,3";"1007,4";"1007,4";"1007,0";"1,1";"124,0";"3,2";"";"0,0"
"01/06/2003";"1400";"28,9";"28,9";"27,6";"78,0";"84,0";"76,0";"24,8";"25,3";"24,1";"1007,3";"1007,5";"1007,2";"1,7";"113,0";"4,2";"";"0,0"
"01/06/2003";"1500";"28,2";"29,3";"27,8";"79,0";"83,0";"75,0";"24,2";"25,1";"23,9";"1006,8";"1007,3";"1006,8";"1,9";"88,0";"3,9";"";"0,0"
"01/06/2003";"1600";"29,8";"29,9";"28,2";"71,0";"81,0";"71,0";"24,0";"25,1";"23,8";"1006,0";"1006,8";"1006,0";"2,3";"86,0";"4,7";"";"0,0"
"01/06/2003";"1700";"30,5";"30,6";"29,7";"68,0";"75,0";"68,0";"24,1";"25,4";"23,9";"1004,8";"1006,0";"1004,8";"1,7";"89,0";"4,1";"3,00";"0,0"
"01/06/2003";"1800";"31,0";"31,2";"30,2";"69,0";"72,0";"65,0";"24,6";"25,0";"23,4";"1003,6";"1004,8";"1003,6";"2,1";"101,0";"4,5";"";"0,0"
"01/06/2003";"1900";"30,9";"31,4";"30,7";"64,0";"67,0";"63,0";"23,2";"24,5";"23,2";"1002,6";"1003,5";"1002,6";"1,9";"89,0";"5,0";"11,00";"0,0"
