"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2015";"0000";"27,7";"28,2";"27,6";"71,0";"71,0";"66,0";"21,9";"21,9";"21,3";"1004,0";"1004,0";"1003,2";"1,7";"93,0";"3,6";"";"0,0"
"01/01/2015";"0100";"27,4";"27,7";"27,1";"75,0";"76,0";"71,0";"22,7";"22,7";"22,0";"1004,6";"1004,6";"1004,0";"1,7";"81,0";"3,5";"";"0,0"
"01/01/2015";"0200";"27,4";"27,5";"27,1";"73,0";"76,0";"73,0";"22,2";"22,7";"22,1";"1004,9";"1004,9";"1004,5";"2,2";"75,0";"4,1";"";"0,0"
"01/01/2015";"0300";"26,6";"27,4";"26,2";"81,0";"81,0";"73,0";"23,0";"23,0";"22,0";"1005,2";"1005,2";"1004,9";"1,1";"84,0";"3,7";"";"0,0"
"01/01/2015";"0400";"26,8";"27,0";"26,6";"79,0";"81,0";"78,0";"22,8";"23,1";"22,7";"1004,9";"1005,2";"1004,9";"1,1";"71,0";"3,0";"";"0,0"
"01/01/2015";"0500";"26,6";"26,8";"26,5";"82,0";"82,0";"79,0";"23,2";"23,2";"22,8";"1004,2";"1004,9";"1004,2";"1,1";"80,0";"2,6";"";"0,0"
"01/01/2015";"0600";"26,7";"26,8";"26,6";"81,0";"82,0";"80,0";"23,1";"23,2";"23,1";"1003,7";"1004,2";"1003,6";"1,0";"90,0";"2,3";"";"0,0"
"01/01/2015";"0700";"26,8";"26,9";"26,7";"77,0";"81,0";"76,0";"22,3";"23,2";"22,2";"1003,4";"1003,7";"1003,4";"1,4";"75,0";"3,2";"";"0,0"
"01/01/2015";"0800";"26,5";"26,8";"26,5";"77,0";"78,0";"76,0";"22,3";"22,4";"22,1";"1003,5";"1003,5";"1003,3";"1,2";"69,0";"3,1";"";"0,0"
"01/01/2015";"0900";"26,2";"26,6";"26,2";"81,0";"81,0";"77,0";"22,6";"22,6";"22,2";"1004,1";"1004,1";"1003,5";"1,2";"56,0";"3,4";"";"0,0"
"01/01/2015";"1000";"26,3";"26,3";"26,1";"80,0";"81,0";"79,0";"22,5";"22,8";"22,4";"1004,8";"1004,8";"1004,1";"1,3";"61,0";"2,6";"";"0,0"
"01/01/2015";"1100";"27,0";"27,0";"26,2";"77,0";"80,0";"76,0";"22,6";"22,8";"22,4";"1005,7";"1005,7";"1004,8";"0,9";"69,0";"2,2";"209,90";"0,0"
"01/01/2015";"1200";"28,2";"28,5";"27,0";"73,0";"77,0";"71,0";"22,9";"23,3";"22,4";"1006,5";"1006,5";"1005,7";"1,8";"67,0";"3,2";"751,10";"0,0"
"01/01/2015";"1300";"29,4";"29,7";"28,1";"65,0";"74,0";"64,0";"22,1";"23,4";"22,0";"1006,9";"1007,0";"1006,5";"1,7";"55,0";"6,2";"1137,50";"0,0"
"01/01/2015";"1400";"30,8";"31,0";"29,0";"58,0";"68,0";"57,0";"21,5";"23,4";"21,2";"1007,0";"1007,2";"1006,9";"2,3";"38,0";"5,3";"1831,60";"0,0"
"01/01/2015";"1500";"31,7";"32,5";"30,3";"57,0";"61,0";"52,0";"22,2";"22,7";"20,7";"1006,2";"1007,0";"1006,2";"1,9";"21,0";"7,0";"3117,80";"0,0"
"01/01/2015";"1600";"32,0";"32,1";"30,3";"54,0";"60,0";"53,0";"21,5";"22,3";"21,1";"1005,5";"1006,2";"1005,4";"1,8";"38,0";"5,8";"1543,30";"0,0"
"01/01/2015";"1700";"31,9";"32,8";"30,4";"55,0";"60,0";"49,0";"21,6";"22,9";"20,1";"1004,6";"1005,5";"1004,6";"3,0";"51,0";"8,2";"2153,90";"0,0"
"01/01/2015";"1800";"31,9";"32,3";"29,6";"54,0";"65,0";"53,0";"21,5";"23,4";"20,3";"1003,1";"1004,6";"1003,1";"2,4";"39,0";"9,7";"2336,30";"0,0"
"01/01/2015";"1900";"32,1";"33,3";"31,7";"54,0";"58,0";"50,0";"21,7";"22,5";"20,8";"1001,8";"1003,1";"1001,8";"2,9";"46,0";"7,1";"2541,20";"0,0"
"01/01/2015";"2000";"29,0";"33,0";"29,0";"59,0";"60,0";"52,0";"20,3";"22,6";"20,3";"1002,1";"1002,1";"1001,6";"5,7";"51,0";"10,9";"1173,80";"0,0"
"01/01/2015";"2100";"26,8";"29,0";"26,2";"78,0";"79,0";"59,0";"22,5";"22,5";"20,3";"1002,5";"1002,5";"1002,1";"4,3";"92,0";"10,9";"280,40";"0,2"
