"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2019";"0000";"30,1";"30,2";"29,5";"62,0";"67,0";"61,0";"21,9";"22,8";"21,8";"1004,4";"1004,4";"1003,2";"1,3";"84,0";"3,2";"";"0,0"
"01/07/2019";"0100";"29,7";"30,1";"29,7";"61,0";"62,0";"59,0";"21,4";"21,9";"21,1";"1005,1";"1005,1";"1004,4";"1,0";"74,0";"3,2";"";"0,0"
"01/07/2019";"0200";"29,0";"29,9";"29,0";"66,0";"66,0";"61,0";"21,9";"21,9";"21,3";"1005,5";"1005,5";"1005,1";"0,7";"80,0";"2,8";"";"0,0"
"01/07/2019";"0300";"28,7";"29,1";"28,3";"69,0";"70,0";"65,0";"22,6";"22,6";"21,9";"1005,8";"1005,8";"1005,5";"0,9";"70,0";"1,8";"";"0,0"
"01/07/2019";"0400";"28,2";"28,8";"27,8";"70,0";"73,0";"69,0";"22,3";"22,6";"22,3";"1005,6";"1005,9";"1005,6";"0,5";"59,0";"1,9";"";"0,0"
"01/07/2019";"0500";"28,0";"28,3";"27,7";"73,0";"75,0";"70,0";"22,8";"22,9";"22,2";"1005,2";"1005,7";"1005,2";"0,4";"339,0";"1,1";"";"0,0"
"01/07/2019";"0600";"28,0";"28,0";"27,3";"81,0";"81,0";"73,0";"24,4";"24,4";"22,6";"1004,6";"1005,2";"1004,6";"0,7";"182,0";"1,4";"";"0,0"
"01/07/2019";"0700";"27,5";"28,3";"27,5";"83,0";"83,0";"80,0";"24,4";"24,7";"24,3";"1004,5";"1004,6";"1004,4";"0,3";"174,0";"1,5";"";"0,0"
"01/07/2019";"0800";"26,8";"27,5";"26,8";"90,0";"90,0";"83,0";"25,0";"25,0";"24,4";"1004,7";"1004,7";"1004,5";"0,2";"6,0";"0,6";"";"0,0"
"01/07/2019";"0900";"26,6";"27,1";"26,5";"90,0";"93,0";"86,0";"24,8";"25,5";"24,4";"1004,9";"1005,0";"1004,7";"0,4";"254,0";"1,0";"";"0,0"
"01/07/2019";"1000";"27,1";"27,3";"26,4";"86,0";"91,0";"85,0";"24,6";"25,1";"24,3";"1005,6";"1005,6";"1004,9";"0,6";"205,0";"1,7";"0,10";"0,0"
"01/07/2019";"1100";"27,6";"27,6";"27,1";"80,0";"86,0";"79,0";"23,8";"24,7";"23,6";"1006,1";"1006,1";"1005,6";"0,5";"147,0";"2,0";"105,80";"0,0"
