Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/01/2022,0,26.1,26.4,26.0,79.0,79.0,77.0,22.1,22.4,21.8,1003.4,1003.4,1002.6,1.7,100.0,4.0,,0.0
01/01/2022,100,26.0,26.1,25.6,80.0,81.0,79.0,22.3,22.3,22.0,1003.8,1003.8,1003.4,1.1,71.0,2.8,,0.0
01/01/2022,200,25.8,26.0,25.2,84.0,85.0,80.0,22.8,22.8,22.2,1004.4,1004.4,1003.8,0.9,53.0,1.7,,0.0
01/01/2022,300,25.7,26.0,25.6,86.0,86.0,79.0,23.2,23.2,22.0,1004.7,1004.7,1004.4,0.9,83.0,3.3,,0.0
01/01/2022,400,25.7,25.8,25.6,86.0,86.0,86.0,23.2,23.3,23.2,1004.2,1004.8,1004.2,1.2,82.0,2.6,,0.0
01/01/2022,500,25.6,25.8,25.5,86.0,88.0,85.0,23.2,23.5,22.9,1003.7,1004.2,1003.5,1.1,87.0,3.1,,0.0
01/01/2022,600,25.5,25.6,25.5,88.0,88.0,86.0,23.4,23.4,23.1,1003.3,1003.7,1003.3,1.2,52.0,2.8,,0.0
01/01/2022,700,25.1,25.5,25.1,91.0,91.0,88.0,23.5,23.5,23.4,1003.0,1003.3,1003.0,0.4,325.0,2.2,,0.0
01/01/2022,800,25.1,25.1,24.7,92.0,92.0,91.0,23.7,23.7,23.3,1002.9,1003.0,1002.8,0.3,54.0,1.5,,0.0
01/01/2022,900,24.0,25.2,23.9,93.0,93.0,90.0,22.8,23.8,22.6,1003.6,1003.6,1002.9,2.4,62.0,6.1,,6.8
01/01/2022,1000,23.4,24.0,23.2,93.0,94.0,93.0,22.3,22.8,22.1,1004.5,1004.5,1003.6,1.8,45.0,7.0,0.10,4.2
01/01/2022,1100,23.2,23.4,23.1,95.0,95.0,93.0,22.3,22.4,22.2,1005.4,1005.4,1004.5,1.4,58.0,4.3,16.10,23.0
01/01/2022,1200,23.9,23.9,23.1,93.0,95.0,93.0,22.7,22.7,22.3,1005.9,1006.0,1005.4,2.2,46.0,4.7,200.20,4.6
01/01/2022,1300,25.4,25.4,23.9,84.0,93.0,84.0,22.5,22.6,22.3,1006.4,1006.4,1005.9,2.0,62.0,5.6,524.00,0.0
01/01/2022,1400,26.8,26.8,25.4,80.0,84.0,79.0,23.0,23.0,22.3,1006.4,1006.4,1006.3,2.3,33.0,5.4,1098.50,0.0
01/01/2022,1500,29.1,29.2,26.8,72.0,80.0,70.0,23.6,24.0,22.6,1005.8,1006.4,1005.8,1.8,24.0,5.7,1941.50,0.0
01/01/2022,1600,28.7,30.2,28.6,71.0,72.0,65.0,23.0,24.5,22.3,1005.2,1005.9,1005.2,2.3,26.0,7.0,1881.10,0.2
01/01/2022,1700,29.6,29.6,27.6,69.0,78.0,69.0,23.3,24.1,22.5,1004.2,1005.2,1004.2,3.3,51.0,8.9,2067.00,0.0
01/01/2022,1800,29.6,29.7,28.8,64.0,69.0,64.0,22.2,23.4,21.6,1003.1,1004.2,1003.1,3.6,53.0,7.9,2284.20,0.0
01/01/2022,1900,25.8,29.6,25.8,80.0,80.0,63.0,22.0,23.1,21.4,1002.5,1003.1,1002.4,3.0,42.0,8.2,1420.70,1.8
01/01/2022,2000,26.1,26.1,24.9,89.0,91.0,80.0,24.3,24.3,22.2,1002.2,1002.6,1002.2,1.3,55.0,8.2,472.40,13.8
01/01/2022,2100,28.1,28.1,26.1,75.0,89.0,75.0,23.3,24.3,22.9,1001.8,1002.2,1001.8,1.3,36.0,4.4,607.10,0.0
01/01/2022,2200,27.4,28.3,27.2,77.0,78.0,74.0,23.0,23.8,22.8,1002.1,1002.2,1001.8,1.4,36.0,3.0,181.10,0.0
01/01/2022,2300,26.2,27.4,26.2,86.0,86.0,77.0,23.6,23.7,23.0,1002.8,1002.8,1002.0,0.3,252.0,3.1,5.00,0.0
02/01/2022,0,26.0,26.3,25.9,86.0,86.0,85.0,23.5,23.7,23.3,1003.5,1003.5,1002.8,0.4,55.0,1.9,,0.0
02/01/2022,100,26.5,26.6,26.0,83.0,87.0,82.0,23.5,23.7,23.3,1004.3,1004.3,1003.5,1.0,47.0,2.4,0.30,0.0
02/01/2022,200,26.5,26.5,26.4,83.0,84.0,83.0,23.4,23.5,23.4,1004.9,1005.0,1004.3,1.3,59.0,2.4,,0.0
02/01/2022,300,26.1,26.5,26.1,84.0,84.0,83.0,23.2,23.4,23.1,1005.1,1005.3,1004.9,1.2,48.0,2.4,,0.0
02/01/2022,400,25.9,26.1,25.9,83.0,85.0,83.0,22.8,23.3,22.8,1004.3,1005.1,1004.3,1.4,58.0,2.7,,0.0
02/01/2022,500,25.7,26.1,25.6,83.0,84.0,82.0,22.7,22.9,22.7,1003.7,1004.3,1003.7,1.1,57.0,2.7,,0.0
02/01/2022,600,25.5,25.7,25.4,85.0,85.0,83.0,22.8,22.8,22.6,1003.1,1003.7,1003.1,1.0,58.0,3.1,,0.0
02/01/2022,700,25.4,25.7,25.3,84.0,85.0,83.0,22.5,22.8,22.5,1002.6,1003.2,1002.6,1.2,60.0,2.7,,0.0
02/01/2022,800,25.1,25.4,25.0,85.0,86.0,84.0,22.5,22.5,22.3,1002.7,1002.8,1002.5,1.1,58.0,2.7,,0.0
02/01/2022,900,24.9,25.2,24.9,85.0,85.0,84.0,22.3,22.5,22.2,1003.2,1003.2,1002.7,1.1,53.0,2.8,,0.0
02/01/2022,1000,23.9,24.9,23.9,90.0,90.0,85.0,22.2,22.3,22.1,1004.0,1004.0,1003.2,0.7,58.0,2.3,0.70,0.0
02/01/2022,1100,25.0,25.3,23.9,85.0,91.0,85.0,22.4,22.8,22.2,1005.0,1005.0,1004.0,1.2,48.0,2.7,122.00,0.0
02/01/2022,1200,27.7,28.0,25.0,74.0,86.0,73.0,22.7,23.3,22.5,1005.6,1005.6,1005.0,1.8,53.0,3.5,1005.70,0.0
02/01/2022,1300,29.3,30.0,27.7,65.0,75.0,63.0,21.9,23.4,21.5,1006.3,1006.3,1005.6,1.8,27.0,5.5,1867.00,0.2
02/01/2022,1400,30.2,30.2,28.0,62.0,69.0,61.0,22.0,22.3,21.1,1006.4,1006.4,1006.3,3.5,45.0,7.8,1806.30,0.0
02/01/2022,1500,29.1,30.2,28.6,61.0,66.0,60.0,20.9,22.5,20.6,1006.1,1006.4,1006.1,2.8,50.0,7.8,2101.00,0.0
02/01/2022,1600,29.2,31.1,29.1,61.0,66.0,56.0,20.8,22.4,20.5,1005.5,1006.1,1005.5,3.0,71.0,6.5,1890.80,0.0
02/01/2022,1700,29.8,30.7,29.1,61.0,66.0,57.0,21.6,22.6,21.0,1004.7,1005.5,1004.7,1.8,42.0,5.7,1682.70,0.0
02/01/2022,1800,30.7,30.9,29.5,56.0,65.0,56.0,21.1,22.9,21.1,1003.5,1004.7,1003.5,1.5,40.0,5.1,1365.70,0.0
02/01/2022,1900,30.3,30.7,28.5,60.0,69.0,56.0,21.6,22.6,20.8,1002.8,1003.5,1002.8,3.0,54.0,5.8,1064.70,0.0
02/01/2022,2000,30.1,30.8,29.5,58.0,65.0,57.0,20.8,23.1,20.5,1002.7,1002.8,1002.4,2.3,37.0,5.8,1188.60,0.0
02/01/2022,2100,29.4,30.1,29.4,62.0,63.0,57.0,21.4,21.8,20.7,1002.6,1002.8,1002.6,2.0,51.0,5.1,480.30,0.0
02/01/2022,2200,29.1,29.5,29.0,66.0,66.0,62.0,22.0,22.1,21.5,1003.1,1003.1,1002.6,1.4,41.0,4.1,167.10,0.0
02/01/2022,2300,28.2,29.2,28.2,73.0,73.0,65.0,22.9,23.0,21.9,1003.2,1003.2,1003.1,1.5,46.0,4.1,3.40,0.0
03/01/2022,0,27.7,28.3,27.6,73.0,73.0,70.0,22.4,23.0,22.1,1004.3,1004.3,1003.2,2.1,41.0,4.3,,0.0
03/01/2022,100,27.2,27.7,27.2,74.0,74.0,72.0,22.2,22.4,22.0,1004.9,1004.9,1004.3,1.9,51.0,4.3,,0.0
03/01/2022,200,27.3,27.3,27.0,72.0,75.0,72.0,21.8,22.3,21.7,1005.3,1005.3,1004.9,2.2,40.0,5.3,,0.0
03/01/2022,300,27.1,27.4,27.0,73.0,73.0,71.0,21.7,21.8,21.7,1005.3,1005.5,1005.3,1.8,48.0,5.3,,0.0
03/01/2022,400,26.7,27.2,26.6,75.0,75.0,72.0,21.9,21.9,21.7,1004.8,1005.3,1004.7,1.3,54.0,4.0,,0.0
03/01/2022,500,26.2,26.9,26.0,77.0,79.0,74.0,21.9,22.0,21.8,1004.6,1004.9,1004.5,1.1,58.0,3.3,,0.0
